,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
101,0.8646031746031746,0.8481159420289854,16,22,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),69,81,101,,,,,,,,,,,
102,1.0,0.7993788819875777,1,136,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,102,,,,,,,,,,
103,1.0,0.7993788819875777,1,67,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,103,,,,,,,,,,
104,1.0,0.7993788819875777,1,32,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,92,104.0,,,,,,,,,
105,1.0,0.7993788819875777,1,64,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,92,105.0,,,,,,,,,
106,0.899720942140297,0.8452173913043477,3,26,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),87,106,,,,,,,,,,,,
107,1.0,0.7993788819875777,1,23,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),87,107,,,,,,,,,,,,
108,0.8631822836661547,0.8566459627329192,13,13,uniform,ball_tree,euclidean,4,14,32(s),43(s),108(s),,,,,,,,,,,,,,
109,0.8753533026113672,0.8738716356107661,8,9,uniform,ball_tree,euclidean,4,14,32(s),43(s),109(s),,,,,,,,,,,,,,
110,0.8703379416282642,0.8537888198757763,12,10,uniform,ball_tree,euclidean,4,14,32(s),43(s),110(s),,,,,,,,,,,,,,
111,0.8875320020481311,0.8337474120082817,4,15,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),111,,,,,,,,,,,,,
112,0.8753533026113672,0.8738716356107661,8,17,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),112,,,,,,,,,,,,,
113,0.8753533026113672,0.8738716356107661,8,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),97,113,,,,,,,,,,,,
114,0.897567844342038,0.8595859213250516,5,9,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),97,114,,,,,,,,,,,,
