,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
103,0.8081813931743806,0.7670289855072464,16,17,uniform,ball_tree,euclidean,2,46(s),79,103.0,,,,,,,,
104,0.7757830762038337,0.7416666666666667,8,210,uniform,ball_tree,euclidean,2,104(s),,,,,,,,,,
105,0.7823281907433381,0.8021739130434783,21,176,uniform,ball_tree,euclidean,2,105(s),,,,,,,,,,
106,0.7973819541841983,0.7753623188405797,12,194,uniform,ball_tree,euclidean,2,106(s),,,,,,,,,,
107,0.8663160355306218,0.6891304347826088,2,111,uniform,ball_tree,euclidean,2,100(s),107,,,,,,,,,
108,0.7973819541841983,0.7673913043478261,18,54,uniform,ball_tree,euclidean,2,100(s),108,,,,,,,,,
109,0.8059841047218328,0.7666666666666666,14,2,uniform,ball_tree,euclidean,2,46(s),79,103.0,109,,,,,,,
110,0.8059841047218328,0.7666666666666666,14,12,uniform,ball_tree,euclidean,2,46(s),79,103.0,110,,,,,,,
111,0.7672510518934083,0.7586956521739131,22,2,uniform,ball_tree,euclidean,2,46(s),79,111.0,,,,,,,,
112,0.6573398784478728,0.6637681159420289,50,29,uniform,ball_tree,euclidean,2,46(s),79,112.0,,,,,,,,
113,0.7757830762038337,0.7416666666666667,8,9,uniform,ball_tree,euclidean,2,113(s),,,,,,,,,,
114,0.7435717625058439,0.8018115942028985,28,1,uniform,ball_tree,euclidean,2,114(s),,,,,,,,,,
115,0.7780037400654513,0.8021739130434783,20,162,uniform,ball_tree,euclidean,2,115(s),,,,,,,,,,
116,0.7413978494623656,0.7677536231884058,27,36,uniform,ball_tree,euclidean,2,105(s),116,,,,,,,,,
117,0.7995091164095373,0.7760869565217392,17,251,uniform,ball_tree,euclidean,2,105(s),117,,,,,,,,,
118,0.8016596540439458,0.7148550724637681,4,69,uniform,ball_tree,euclidean,2,100(s),118,,,,,,,,,
119,0.7995091164095373,0.7760869565217392,17,61,uniform,ball_tree,euclidean,2,100(s),119,,,,,,,,,
120,0.7973819541841983,0.7844202898550724,10,39,uniform,ball_tree,euclidean,2,104(s),120,,,,,,,,,
121,0.8663160355306218,0.6891304347826088,2,177,uniform,ball_tree,euclidean,2,104(s),121,,,,,,,,,
122,0.7973819541841983,0.7673913043478261,18,112,uniform,ball_tree,euclidean,2,122(s),,,,,,,,,,
123,0.7973819541841983,0.7844202898550724,10,213,uniform,ball_tree,euclidean,2,123(s),,,,,,,,,,
124,0.7672510518934083,0.7586956521739131,22,202,uniform,ball_tree,euclidean,2,124(s),,,,,,,,,,
125,0.7241701729780272,0.7061594202898551,34,229,uniform,ball_tree,euclidean,2,125(s),,,,,,,,,,
126,0.7973352033660589,0.7586956521739131,9,198,uniform,ball_tree,euclidean,2,126(s),,,,,,,,,,
127,0.7499766245909305,0.7496376811594203,30,83,uniform,ball_tree,euclidean,2,127(s),,,,,,,,,,
128,0.6680691912108461,0.6717391304347825,38,34,uniform,ball_tree,euclidean,2,128(s),,,,,,,,,,
129,0.7413978494623656,0.7677536231884058,27,137,uniform,ball_tree,euclidean,2,129(s),,,,,,,,,,
130,0.7973819541841983,0.7492753623188405,13,238,uniform,ball_tree,euclidean,2,130(s),,,,,,,,,,
131,0.8598410472183262,0.6807971014492752,3,151,uniform,ball_tree,euclidean,2,126(s),131,,,,,,,,,
132,0.8081813931743806,0.7670289855072464,16,300,uniform,ball_tree,euclidean,2,126(s),132,,,,,,,,,
133,0.7241701729780272,0.7061594202898551,34,51,uniform,ball_tree,euclidean,2,125(s),133,,,,,,,,,
134,0.670266479663394,0.6894927536231885,41,99,uniform,ball_tree,euclidean,2,125(s),134,,,,,,,,,
135,0.7241701729780272,0.7061594202898551,34,73,uniform,ball_tree,euclidean,2,135(s),,,,,,,,,,
136,0.7284478728377748,0.75,29,227,uniform,ball_tree,euclidean,2,136(s),,,,,,,,,,
137,1.0,0.7579710144927535,1,170,uniform,ball_tree,euclidean,2,137(s),,,,,,,,,,
138,0.7973352033660589,0.7586956521739131,9,55,uniform,ball_tree,euclidean,2,126(s),138,,,,,,,,,
139,0.7758298270219729,0.7416666666666666,7,300,uniform,ball_tree,euclidean,2,126(s),139,,,,,,,,,
140,1.0,0.7579710144927535,1,25,uniform,ball_tree,euclidean,2,130(s),140,,,,,,,,,
141,0.7757830762038337,0.7416666666666667,8,95,uniform,ball_tree,euclidean,2,130(s),141,,,,,,,,,
142,0.8598410472183262,0.6807971014492752,3,300,uniform,ball_tree,euclidean,2,125(s),142,,,,,,,,,
143,0.6573398784478728,0.6637681159420289,50,300,uniform,ball_tree,euclidean,2,125(s),143,,,,,,,,,
144,0.6573398784478728,0.6637681159420289,50,28,uniform,ball_tree,euclidean,2,125(s),134,144.0,,,,,,,,
145,0.670266479663394,0.6894927536231885,41,52,uniform,ball_tree,euclidean,2,125(s),134,145.0,,,,,,,,
146,0.6573398784478728,0.6637681159420289,50,19,uniform,ball_tree,euclidean,2,128(s),146,,,,,,,,,
147,0.6573398784478728,0.6637681159420289,50,50,uniform,ball_tree,euclidean,2,128(s),147,,,,,,,,,
148,0.7780037400654513,0.8021739130434783,20,56,uniform,ball_tree,euclidean,2,148(s),,,,,,,,,,
149,0.7802010285179991,0.7499999999999999,23,13,uniform,ball_tree,euclidean,2,149(s),,,,,,,,,,
150,0.7757830762038337,0.7416666666666667,8,70,uniform,ball_tree,euclidean,2,150(s),,,,,,,,,,
151,0.7758298270219729,0.7416666666666666,7,226,uniform,ball_tree,euclidean,2,151(s),,,,,,,,,,
152,0.7715755025712951,0.7757246376811594,24,35,uniform,ball_tree,euclidean,2,152(s),,,,,,,,,,
153,0.7973819541841983,0.7492753623188405,13,192,uniform,ball_tree,euclidean,2,153(s),,,,,,,,,,
154,0.7478494623655914,0.8018115942028985,26,252,uniform,ball_tree,euclidean,2,154(s),,,,,,,,,,
155,0.7973819541841983,0.7416666666666666,11,137,uniform,ball_tree,euclidean,2,155(s),,,,,,,,,,
156,0.8059841047218328,0.7666666666666666,14,60,uniform,ball_tree,euclidean,2,156(s),,,,,,,,,,
157,0.7823281907433381,0.8021739130434783,21,182,uniform,ball_tree,euclidean,2,157(s),,,,,,,,,,
158,0.7241467975689575,0.6978260869565217,33,179,uniform,ball_tree,euclidean,2,158(s),,,,,,,,,,
159,0.7780037400654513,0.8021739130434783,20,117,uniform,ball_tree,euclidean,2,159(s),,,,,,,,,,
160,0.6702431042543243,0.6463768115942029,45,300,uniform,ball_tree,euclidean,2,154(s),160,,,,,,,,,
161,0.6810425432445066,0.6804347826086955,36,90,uniform,ball_tree,euclidean,2,154(s),161,,,,,,,,,
162,0.7973819541841983,0.7844202898550724,10,136,uniform,ball_tree,euclidean,2,162(s),,,,,,,,,,
163,0.7435717625058439,0.8018115942028985,28,86,uniform,ball_tree,euclidean,2,163(s),,,,,,,,,,
164,0.8598410472183262,0.6807971014492752,3,78,uniform,ball_tree,euclidean,2,164(s),,,,,,,,,,
165,0.7435717625058439,0.8018115942028985,28,180,uniform,ball_tree,euclidean,2,157(s),165,,,,,,,,,
166,0.7995091164095373,0.7760869565217392,17,100,uniform,ball_tree,euclidean,2,157(s),166,,,,,,,,,
